country,year,predicted_temperature
GHA,2018,28.108232
GHA,2019,28.15347
GHA,2020,28.19872
GHA,2021,28.244267
GHA,2022,28.290676
GHA,2023,28.337067
GHA,2024,28.383474
GHA,2025,28.429869
GIB,2015,18.258259
GIB,2016,18.311596
GIB,2017,18.364544
GIB,2018,18.417501
GIB,2019,18.470547
GIB,2020,18.524307
GIB,2021,18.580862
GIB,2022,18.637941
GIB,2023,18.695015
GIB,2024,18.75606
GIB,2025,18.817762
GRC,2015,15.927839
GRC,2016,15.9841175
GRC,2017,16.040514
GRC,2018,16.097208
GRC,2019,16.153948
GRC,2020,16.210691
GRC,2021,16.267467
GRC,2022,16.321411
GRC,2023,16.373566
GRC,2024,16.427252
GRC,2025,16.48259
GRD,2015,26.919142
GRD,2016,26.929861
GRD,2017,26.944048
GRD,2018,26.964962
GRD,2019,26.99405
GRD,2020,27.026901
GRD,2021,27.063606
GRD,2022,27.100805
GRD,2023,27.138016
GRD,2024,27.174671
GRD,2025,27.217644
GRL,2015,-18.42393
GRL,2016,-18.405521
GRL,2017,-18.387012
GRL,2018,-18.366673
GRL,2019,-18.335953
GRL,2020,-18.25615
GRL,2021,-18.1379
GRL,2022,-17.999737
GRL,2023,-17.83258
GRL,2024,-17.642008
GRL,2025,-17.426006
GUM,2015,27.236359
GUM,2016,27.25615
GUM,2017,27.280607
GUM,2018,27.309814
GUM,2019,27.33903
GUM,2020,27.368244
GUM,2021,27.397465
GUM,2022,27.428387
GUM,2023,27.462765
GUM,2024,27.499662
GUM,2025,27.536577
GGY,2015,12.545285
GGY,2016,12.611835
GGY,2017,12.678366
GGY,2018,12.744905
GGY,2019,12.8114395
GGY,2020,12.877976
GGY,2021,12.94451
GGY,2022,13.011045
GGY,2023,13.077582
GGY,2024,13.144111
GGY,2025,13.210634
GIN,2015,26.313444
GIN,2016,26.355145
GIN,2017,26.396877
GIN,2018,26.439585
GIN,2019,26.482933
GIN,2020,26.527035
GIN,2021,26.571133
GIN,2022,26.615234
GIN,2023,26.659323
GIN,2024,26.703524
GIN,2025,26.747776
GTM,2015,23.532177
GTM,2016,23.573963
GTM,2017,23.615768
GTM,2018,23.657093
GTM,2019,23.698
GTM,2020,23.733839
GTM,2021,23.770317
GTM,2022,23.80716
GTM,2023,23.844
GTM,2024,23.881487
GTM,2025,23.920616
GNB,2015,27.837358
GNB,2016,27.85188
GNB,2017,27.86641
GNB,2018,27.880928
GNB,2019,27.897259
GNB,2020,27.923996
GNB,2021,27.955898
GNB,2022,27.987787
GNB,2023,28.019682
GNB,2024,28.054186
GNB,2025,28.092735
GUY,2015,25.697254
GUY,2016,25.725574
GUY,2017,25.753891
GUY,2018,25.782215
GUY,2019,25.813126
GUY,2020,25.847218
GUY,2021,25.885897
GUY,2022,25.929691
GUY,2023,25.97452
GUY,2024,26.01934
GUY,2025,26.064173
HTI,2015,25.568262
HTI,2016,25.60395
HTI,2017,25.639616
HTI,2018,25.6753
HTI,2019,25.710972
HTI,2020,25.747353
HTI,2021,25.786177
HTI,2022,25.82499
HTI,2023,25.864134
HTI,2024,25.904913
HTI,2025,25.945698
HMD,2015,1.7204539
HMD,2016,1.76507
HMD,2017,1.8096864
HMD,2018,1.854303
HMD,2019,1.8989198
HMD,2020,1.9435357
HMD,2021,1.9917998
HMD,2022,2.0532506
HMD,2023,2.1140237
HMD,2024,2.173503
HMD,2025,2.2333562
HND,2015,23.901339
HND,2016,23.944284
HND,2017,23.987242
HND,2018,24.030195
HND,2019,24.07365
HND,2020,24.118778
HND,2021,24.166384
HND,2022,24.214546
HND,2023,24.262712
HND,2024,24.31087
HND,2025,24.359148
HUN,2015,11.958151
HUN,2016,12.025312
HUN,2017,12.092533
HUN,2018,12.156094
HUN,2019,12.217749
HUN,2020,12.279409
HUN,2021,12.338004
HUN,2022,12.396082
HUN,2023,12.4544
HUN,2024,12.513685
HUN,2025,12.573576
IDN,2015,25.83544
IDN,2016,25.876675
IDN,2017,25.91791
IDN,2018,25.959152
IDN,2019,26.000381
IDN,2020,26.041618
IDN,2021,26.082867
IDN,2022,26.124102
IDN,2023,26.16534
IDN,2024,26.20657
IDN,2025,26.247803
IND,2015,24.758572
IND,2016,24.780485
IND,2017,24.8024
IND,2018,24.82431
IND,2019,24.846228
IND,2020,24.868143
IND,2021,24.891039
IND,2022,24.917492
IND,2023,24.943932
IND,2024,24.973213
IND,2025,25.006514
ISL,2015,2.4888926
ISL,2016,2.5085588
ISL,2017,2.5218885
ISL,2018,2.5316613
ISL,2019,2.5414348
ISL,2020,2.5519056
ISL,2021,2.56471
ISL,2022,2.5822206
ISL,2023,2.605027
ISL,2024,2.6337771
ISL,2025,2.672209
IRL,2015,9.977403
IRL,2016,10.005942
IRL,2017,10.035116
IRL,2018,10.064552
IRL,2019,10.095279
IRL,2020,10.131046
IRL,2021,10.167376
IRL,2022,10.203803
IRL,2023,10.244513
IRL,2024,10.292893
IRL,2025,10.345899
IRN,2015,19.267736
IRN,2016,19.31627
IRN,2017,19.3648
IRN,2018,19.413322
IRN,2019,19.461847
IRN,2020,19.510374
IRN,2021,19.558899
IRN,2022,19.607435
IRN,2023,19.659966
IRN,2024,19.717358
IRN,2025,19.774757
IRQ,2015,23.644213
IRQ,2016,23.698475
IRQ,2017,23.752737
IRQ,2018,23.806995
IRQ,2019,23.861269
IRQ,2020,23.916456
IRQ,2021,23.974619
IRQ,2022,24.032774
IRQ,2023,24.091467
IRQ,2024,24.151869
IRQ,2025,24.212275
IMN,2015,10.698772
IMN,2016,10.729866
IMN,2017,10.760954
IMN,2018,10.792042
IMN,2019,10.8231325
IMN,2020,10.856587
IMN,2021,10.891876
IMN,2022,10.9390745
IMN,2023,10.990098
IMN,2024,11.046804
IMN,2025,11.103516
ISR,2015,20.724907
ISR,2016,20.77824
ISR,2017,20.83155
ISR,2018,20.88487
ISR,2019,20.938202
ISR,2020,20.991522
ISR,2021,21.044025
ISR,2022,21.092487
ISR,2023,21.14094
ISR,2024,21.189396
ISR,2025,21.23762
ITA,2015,13.836851
ITA,2016,13.907583
ITA,2017,13.978619
ITA,2018,14.049754
ITA,2019,14.120888
ITA,2020,14.189127
ITA,2021,14.257347
ITA,2022,14.325576
ITA,2023,14.394143
ITA,2024,14.462732
ITA,2025,14.531324
JAM,2015,26.074734
